NCTETID,DISTRICT,CLASS_11,CLASS_12,CLASS_13,SCHOOLYEAR_SP,OBSID,RATERID,OBSYEAR,OBSMONTH,OBSDAY,CHAPNUM,CLPC,CLNC,CLTS,CLRSP,CLBM,CLPRDT,CLILF,CLCU,CLAPS,CLQF,CLINSTD,CLSTENG,SCHOOLID
11005,11,1,1,1,2011,28,17,2010,12,10,1,5.0,2.0,5.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,1106.0
11005,11,1,1,1,2011,28,17,2010,12,10,2,5.0,2.0,4.0,2.0,5.0,6.0,3.0,3.0,3.0,4.0,2.0,5.0,1106.0
11005,11,1,1,1,2011,28,17,2010,12,10,3,5.0,2.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,5.0,1106.0
11005,11,1,1,1,2011,132,1,2011,1,20,1,4.0,1.0,6.0,3.0,7.0,6.0,5.0,4.0,5.0,4.0,3.0,5.0,1106.0
11005,11,1,1,1,2011,132,1,2011,1,20,2,4.0,1.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,1106.0
11005,11,1,1,1,2011,580,14,2011,3,16,1,3.0,1.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,1106.0
11005,11,1,1,1,2011,580,14,2011,3,16,2,5.0,2.0,4.0,1.0,6.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,1106.0
11005,11,1,1,1,2011,580,14,2011,3,16,3,5.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,1106.0
11005,11,1,1,1,2012,2376,16,2011,12,15,1,6.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,1106.0
11005,11,1,1,1,2012,2376,16,2011,12,15,2,6.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,1106.0
11005,11,1,1,1,2012,2376,16,2011,12,15,3,5.0,1.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,1106.0
11005,11,1,1,1,2012,2590,8,2012,1,26,1,5.0,1.0,4.0,3.0,7.0,7.0,5.0,3.0,3.0,3.0,4.0,5.0,1106.0
11005,11,1,1,1,2012,2590,8,2012,1,26,2,5.0,1.0,4.0,3.0,6.0,7.0,5.0,3.0,3.0,3.0,3.0,5.0,1106.0
11005,11,1,1,1,2012,2590,8,2012,1,26,3,5.0,1.0,5.0,3.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,1106.0
11005,11,1,1,1,2012,2773,17,2012,3,1,1,5.0,1.0,4.0,3.0,6.0,7.0,4.0,5.0,4.0,5.0,3.0,3.0,1106.0
11005,11,1,1,1,2012,2773,17,2012,3,1,2,5.0,1.0,4.0,3.0,6.0,7.0,4.0,5.0,3.0,5.0,4.0,4.0,1106.0
11005,11,1,1,1,2012,2773,17,2012,3,1,3,5.0,1.0,4.0,3.0,6.0,7.0,4.0,5.0,5.0,5.0,4.0,5.0,1106.0
11005,11,1,1,1,2012,2773,17,2012,3,1,4,5.0,1.0,5.0,3.0,6.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,1106.0
11005,11,1,1,1,2013,4091,4,2012,11,15,1,4.0,1.0,5.0,3.0,7.0,7.0,4.0,4.0,3.0,4.0,4.0,6.0,1106.0
11005,11,1,1,1,2013,4091,4,2012,11,15,2,4.0,1.0,5.0,3.0,6.0,7.0,4.0,4.0,3.0,4.0,4.0,6.0,1106.0
11005,11,1,1,1,2013,4091,4,2012,11,15,3,4.0,1.0,5.0,3.0,7.0,7.0,4.0,4.0,3.0,4.0,4.0,6.0,1106.0
11005,11,1,1,1,2013,4247,11,2012,12,13,1,5.0,1.0,5.0,4.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,1106.0
11005,11,1,1,1,2013,4247,11,2012,12,13,2,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1106.0
11005,11,1,1,1,2013,4247,11,2012,12,13,3,5.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,1106.0
11005,11,1,1,1,2013,4597,8,2013,2,28,1,4.0,1.0,4.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,4.0,5.0,1106.0
11005,11,1,1,1,2013,4597,8,2013,2,28,2,4.0,1.0,4.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,4.0,5.0,1106.0
11005,11,1,1,1,2013,4597,8,2013,2,28,3,4.0,1.0,4.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,4.0,5.0,1106.0
11006,11,1,1,0,2011,24,1,2010,12,7,1,5.0,1.0,6.0,4.0,6.0,7.0,5.0,5.0,5.0,5.0,4.0,5.0,1108.0
11006,11,1,1,0,2011,24,1,2010,12,7,2,5.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0,4.0,5.0,4.0,6.0,1108.0
11006,11,1,1,0,2011,24,1,2010,12,7,3,5.0,1.0,6.0,5.0,7.0,7.0,4.0,5.0,4.0,5.0,4.0,5.0,1108.0
11006,11,1,1,0,2011,24,1,2010,12,7,4,5.0,1.0,5.0,5.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,5.0,1108.0
11006,11,1,1,0,2011,89,7,2011,1,11,1,4.0,1.0,4.0,3.0,6.0,7.0,3.0,3.0,4.0,3.0,4.0,6.0,1108.0
11006,11,1,1,0,2011,89,7,2011,1,11,2,5.0,1.0,6.0,4.0,6.0,7.0,4.0,5.0,5.0,5.0,3.0,6.0,1108.0
11006,11,1,1,0,2011,89,7,2011,1,11,3,4.0,1.0,4.0,4.0,6.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,1108.0
11006,11,1,1,0,2011,89,7,2011,1,11,4,4.0,3.0,3.0,3.0,5.0,6.0,3.0,4.0,4.0,3.0,3.0,5.0,1108.0
11006,11,1,1,0,2011,446,17,2011,3,1,1,4.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,1108.0
11006,11,1,1,0,2011,446,17,2011,3,1,2,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,1108.0
11006,11,1,1,0,2011,446,17,2011,3,1,3,5.0,3.0,4.0,,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,1108.0
11006,11,1,1,0,2011,446,17,2011,3,1,4,4.0,2.0,4.0,2.0,3.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,1108.0
11006,11,1,1,0,2012,2394,11,2011,12,19,1,6.0,1.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2394,11,2011,12,19,2,6.0,1.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2394,11,2011,12,19,3,5.0,1.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2394,11,2011,12,19,4,6.0,1.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2394,11,2011,12,19,5,6.0,1.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2560,16,2012,1,23,1,4.0,1.0,5.0,3.0,7.0,6.0,4.0,4.0,4.0,4.0,5.0,6.0,1108.0
11006,11,1,1,0,2012,2560,16,2012,1,23,2,4.0,1.0,5.0,3.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,6.0,1108.0
11006,11,1,1,0,2012,2560,16,2012,1,23,3,3.0,1.0,4.0,3.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,1108.0
11006,11,1,1,0,2012,2560,16,2012,1,23,4,4.0,1.0,4.0,4.0,7.0,7.0,4.0,5.0,5.0,5.0,5.0,7.0,1108.0
11006,11,1,1,0,2012,2784,8,2012,3,5,1,5.0,1.0,4.0,3.0,7.0,7.0,5.0,4.0,3.0,4.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2784,8,2012,3,5,2,6.0,1.0,5.0,3.0,7.0,7.0,5.0,4.0,3.0,4.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2784,8,2012,3,5,3,5.0,1.0,5.0,4.0,7.0,7.0,6.0,4.0,3.0,4.0,5.0,5.0,1108.0
11006,11,1,1,0,2012,2784,8,2012,3,5,4,5.0,1.0,6.0,3.0,7.0,7.0,6.0,4.0,3.0,4.0,5.0,5.0,1108.0
11007,11,1,1,1,2011,57,16,2010,12,20,1,4.0,1.0,5.0,2.0,7.0,7.0,6.0,4.0,2.0,4.0,5.0,6.0,1113.0
11007,11,1,1,1,2011,57,16,2010,12,20,2,4.0,1.0,4.0,4.0,7.0,7.0,4.0,4.0,3.0,4.0,3.0,6.0,1113.0
11007,11,1,1,1,2011,57,16,2010,12,20,3,5.0,1.0,5.0,3.0,7.0,7.0,5.0,6.0,3.0,5.0,5.0,6.0,1113.0
11007,11,1,1,1,2011,790,19,2011,4,11,1,3.0,1.0,4.0,3.0,7.0,6.0,4.0,,3.0,3.0,4.0,5.0,1113.0
11007,11,1,1,1,2011,790,19,2011,4,11,2,4.0,1.0,4.0,4.0,7.0,7.0,4.0,4.0,3.0,2.0,4.0,4.0,1113.0
11007,11,1,1,1,2011,790,19,2011,4,11,3,3.0,1.0,4.0,3.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,1113.0
11007,11,1,1,1,2011,1063,13,2011,5,31,1,3.0,1.0,5.0,2.0,7.0,6.0,4.0,5.0,2.0,3.0,4.0,4.0,1113.0
11007,11,1,1,1,2011,1063,13,2011,5,31,2,3.0,1.0,6.0,2.0,7.0,6.0,3.0,4.0,4.0,2.0,2.0,4.0,1113.0
11007,11,1,1,1,2012,2197,4,2011,11,30,1,4.0,1.0,4.0,5.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,2197,4,2011,11,30,2,4.0,1.0,5.0,4.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,2197,4,2011,11,30,3,4.0,1.0,4.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,2197,4,2011,11,30,4,4.0,1.0,4.0,5.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,2460,8,2012,1,10,1,4.0,1.0,5.0,4.0,7.0,7.0,5.0,3.0,3.0,3.0,4.0,5.0,1113.0
11007,11,1,1,1,2012,2460,8,2012,1,10,2,4.0,1.0,5.0,4.0,7.0,7.0,5.0,3.0,3.0,3.0,5.0,5.0,1113.0
11007,11,1,1,1,2012,2930,16,2012,4,5,1,4.0,1.0,5.0,2.0,7.0,6.0,4.0,4.0,3.0,5.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,2930,16,2012,4,5,2,4.0,1.0,5.0,3.0,7.0,7.0,4.0,5.0,3.0,5.0,4.0,7.0,1113.0
11007,11,1,1,1,2012,2930,16,2012,4,5,3,4.0,1.0,5.0,3.0,7.0,6.0,4.0,5.0,2.0,4.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,3021,4,2012,5,24,1,4.0,1.0,5.0,4.0,7.0,7.0,5.0,4.0,6.0,4.0,4.0,7.0,1113.0
11007,11,1,1,1,2012,3021,4,2012,5,24,2,4.0,1.0,4.0,5.0,7.0,7.0,4.0,5.0,5.0,5.0,4.0,6.0,1113.0
11007,11,1,1,1,2012,3021,4,2012,5,24,3,4.0,1.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,7.0,1113.0
11007,11,1,1,1,2013,4082,4,2012,11,13,1,4.0,1.0,5.0,3.0,7.0,7.0,5.0,4.0,3.0,4.0,5.0,6.0,1113.0
11007,11,1,1,1,2013,4082,4,2012,11,13,2,4.0,1.0,5.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,1113.0
11007,11,1,1,1,2013,4082,4,2012,11,13,3,4.0,1.0,5.0,3.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,1113.0
11007,11,1,1,1,2013,4241,15,2012,12,11,1,5.0,1.0,5.0,3.0,7.0,6.0,5.0,4.0,3.0,5.0,3.0,5.0,1113.0
11007,11,1,1,1,2013,4241,15,2012,12,11,2,5.0,1.0,4.0,4.0,7.0,6.0,5.0,4.0,3.0,5.0,4.0,6.0,1113.0
